name,model_type,metric_type,metric_value,train_time
1_Baseline,Baseline,logloss,1.2314526872169713,1.2
2_DecisionTree,Decision Tree,logloss,1.0418377534964156,4.79
3_Default_Xgboost,Xgboost,logloss,0.5964770480211202,8.25
4_Default_NeuralNetwork,Neural Network,logloss,1.0491913488418285,1.83
5_Default_RandomForest,Random Forest,logloss,0.9909208308160772,4.12
Ensemble,Ensemble,logloss,0.5964770480211202,0.2
